STAN/CIS  DATUM CAS   [kg] ROZDIL TEPL
1221601 01/08/23 18   47.0  -0.2  21.4
1221601 01/08/23 12   47.2   0.0  18.4
1221601 01/08/23 06   47.2   0.2  16.2
1221601 01/08/23 00   47.0  -0.2  17.6
1221601 31/07/23 18   47.2   0.0  22.4
1221601 31/07/23 12   47.2  -0.2  20.4
1221601 31/07/23 06   47.4  -0.2  10.7
1221601 31/07/23 00   47.6  -0.2  12.4
1221601 30/07/23 18   47.8  -0.2  21.4
1221601 30/07/23 12   48.0  -0.4  22.0
1221601 30/07/23 06   48.4   0.2  13.2
1221601 30/07/23 00   48.2  -0.3  15.4
1221601 29/07/23 18   48.5  -0.5  24.7
1221601 29/07/23 15   49.0  -0.1  22.4
1221601 29/07/23 12   49.1   0.1  21.2
1221601 29/07/23 09   49.0  -0.2  20.2
1221601 29/07/23 06   49.2  -0.2  16.9
1221601 29/07/23 03   49.4   0.0  18.2
1221601 29/07/23 00   49.4   0.0  19.6
1221601 28/07/23 21   49.4   0.0  21.6
1221601 28/07/23 18   49.4  -0.2  24.7
1221601 28/07/23 15   49.6  -0.5  24.2
1221601 28/07/23 12   50.1  -0.3  21.4
1221601 28/07/23 09   50.4   0.0  16.9
1221601 28/07/23 06   50.4   0.0  15.6
1221601 28/07/23 03   50.4  -0.1  15.6
1221601 28/07/23 00   50.5  -0.1  15.4
1221601 27/07/23 21   50.6   3.6  15.6
1221601 27/07/23 18   47.0   0.0  16.2
1221601 27/07/23 15   47.0  -0.4  18.9
1221601 27/07/23 12   47.4  -0.1  20.2
1221601 27/07/23 09   47.5   0.0  14.2
1221601 27/07/23 06   47.5   0.0   7.4
1221601 27/07/23 03   47.5   0.1   8.4
1221601 27/07/23 00   47.4   0.0  10.9
1221601 26/07/23 21   47.4   3.4  14.9
1221601 26/07/23 18   44.0 -12.4  19.4
1221601 26/07/23 15   56.4   0.0  20.0
1221601 26/07/23 12   56.4  -0.4  18.7
1221601 26/07/23 09   56.8  -0.1  12.7
1221601 26/07/23 06   56.9   0.1  11.4
1221601 26/07/23 03   56.8   0.0  12.4
1221601 26/07/23 00   56.8   0.1  13.2
1221601 25/07/23 21   56.7   0.1  15.6
1221601 25/07/23 18   56.6  -0.3  20.0
1221601 25/07/23 15   56.9   0.3  16.7
1221601 25/07/23 12   56.6  -0.4  21.2
1221601 25/07/23 09   57.0  -0.2  17.6
1221601 25/07/23 06   57.2   0.2  14.4
1221601 25/07/23 03   57.0   0.2  16.2
1221601 25/07/23 00   56.8   0.2  18.7
1221601 24/07/23 21   56.6   0.2  21.6
1221601 24/07/23 18   56.4   0.0  26.0
1221601 24/07/23 15   56.4  -0.2  28.7
1221601 24/07/23 12   56.6  -0.2  25.2
1221601 24/07/23 09   56.8  -0.2  20.0
1221601 24/07/23 06   57.0   0.0  15.6
1221601 24/07/23 03   57.0   0.2  15.4
1221601 24/07/23 00   56.8   0.0  20.0
1221601 23/07/23 21   56.8   0.2  23.6
1221601 23/07/23 18   56.6  -0.6  29.2
1221601 23/07/23 15   57.2  -0.2  28.7
1221601 23/07/23 12   57.4  -0.4  28.0
1221601 23/07/23 09   57.8  -0.4  19.6
1221601 23/07/23 06   58.2   0.1  11.4
1221601 23/07/23 03   58.1   0.3  10.7
1221601 23/07/23 00   57.8   0.2  13.2
1221601 22/07/23 21   57.6   3.8  20.9
1221601 22/07/23 18   53.8  -0.3  24.2
1221601 22/07/23 15   54.1  -0.2  23.4
1221601 22/07/23 12   54.3  -0.3  20.0
1221601 22/07/23 09   54.6  -0.2  16.4
1221601 22/07/23 06   54.8   0.2   9.4
1221601 22/07/23 03   54.6   0.1  11.6
1221601 22/07/23 00   54.5   0.2  16.2
1221601 21/07/23 21   54.3   0.0  19.6
1221601 21/07/23 18   54.3  -0.1  26.9
1221601 21/07/23 15   54.4  -0.6  28.0
1221601 21/07/23 12   55.0  -0.2  23.2
1221601 21/07/23 09   55.2   0.0  18.0
1221601 21/07/23 06   55.2   0.0  10.4
1221601 21/07/23 03   55.2   0.3  10.2
1221601 21/07/23 00   54.9   0.1  12.0
1221601 20/07/23 21   54.8   4.4  18.9
1221601 20/07/23 18   50.4   0.0  24.2
1221601 20/07/23 15   50.4  -0.4  24.7
1221601 20/07/23 12   50.8  -0.2  22.9
1221601 20/07/23 09   51.0   0.2  18.9
1221601 20/07/23 06   50.8   0.0  14.0
1221601 20/07/23 03   50.8   0.2  14.2
1221601 20/07/23 00   50.6   9.1  18.2
1221601 19/07/23 21   41.5 -15.0  22.9
1221601 19/07/23 18   56.5  -0.1  26.7
1221601 19/07/23 15   56.6   0.0  28.2
1221601 19/07/23 12   56.6  -0.4  27.4
1221601 19/07/23 09   57.0  -0.2  19.4
1221601 19/07/23 06   57.2   0.3  11.4
1221601 19/07/23 03   56.9   0.1  12.9
1221601 19/07/23 00   56.8   0.2  18.7
1221601 18/07/23 21   56.6   0.0  24.4
1221601 18/07/23 18   56.6  -0.2  29.6
1221601 18/07/23 15   56.8  -0.5  29.4
1221601 18/07/23 12   57.3  -0.5  26.0
1221601 18/07/23 09   57.8   0.1  17.6
1221601 18/07/23 06   57.7   0.1   8.9
1221601 18/07/23 03   57.6   0.2  12.0
1221601 18/07/23 00   57.4   1.0  17.4
1221601 17/07/23 21   56.4   0.0  24.0
1221601 17/07/23 18   56.4  -0.2  28.7
1221601 17/07/23 15   56.6  -0.4  28.9
1221601 17/07/23 12   57.0  -0.4  26.4
1221601 17/07/23 09   57.4  -0.2  20.0
1221601 17/07/23 06   57.6   0.2  16.0
1221601 17/07/23 03   57.4   0.2  16.4
1221601 17/07/23 00   57.2   0.2  18.7
1221601 16/07/23 21   57.0   0.2  23.6
1221601 16/07/23 18   56.8  -0.4  27.4
1221601 16/07/23 15   57.2  -0.4  25.4
1221601 16/07/23 12   57.6   0.2  20.0
1221601 16/07/23 09   57.4   0.2  20.2
1221601 16/07/23 06   57.2   0.2  19.2
1221601 16/07/23 03   57.0   0.1  22.7
1221601 16/07/23 00   56.9   0.1  23.2
1221601 15/07/23 21   56.8   0.4  29.4
1221601 15/07/23 18   56.4  -0.4  36.0
1221601 15/07/23 15   56.8  -0.3  34.9
1221601 15/07/23 12   57.1  -0.8  31.6
1221601 15/07/23 09   57.9  -0.1  21.2
1221601 15/07/23 06   58.0   0.2   9.4
1221601 15/07/23 03   57.8   0.1  10.9
1221601 15/07/23 00   57.7   0.2  14.4
1221601 14/07/23 21   57.5   0.2  24.9
1221601 14/07/23 18   57.3  -0.1  28.7
1221601 14/07/23 15   57.4  -0.4  28.2
1221601 14/07/23 12   57.8  -0.4  25.4
1221601 14/07/23 09   58.2  -0.1  18.2
1221601 14/07/23 06   58.3   0.1   8.9
1221601 14/07/23 03   58.2   0.2  10.9
1221601 14/07/23 00   58.0   0.3  14.2
1221601 13/07/23 21   57.7   0.5  22.2
1221601 13/07/23 18   57.2  -0.4  27.4
1221601 13/07/23 15   57.6  -0.2  28.0
1221601 13/07/23 12   57.8  -0.2  26.7
1221601 13/07/23 09   58.0  -0.4  21.2
1221601 13/07/23 06   58.4   0.1  18.7
1221601 13/07/23 03   58.3   0.1  20.2
1221601 13/07/23 00   58.2   0.3  20.0
1221601 12/07/23 21   57.9   0.3  25.4
1221601 12/07/23 18   57.6  -0.5  29.6
1221601 12/07/23 15   58.1  -0.2  29.4
1221601 12/07/23 12   58.3  -0.4  26.4
1221601 12/07/23 09   58.7  -0.1  20.4
1221601 12/07/23 06   58.8   0.2  18.2
1221601 12/07/23 03   58.6   0.2  19.4
1221601 12/07/23 00   58.4   0.2  22.0
1221601 11/07/23 21   58.2   0.2  28.9
1221601 11/07/23 18   58.0  -0.6  34.2
1221601 11/07/23 15   58.6  -0.4  32.7
1221601 11/07/23 12   59.0  -0.4  29.2
1221601 11/07/23 09   59.4  -0.3  22.2
1221601 11/07/23 06   59.7   0.1  12.9
1221601 11/07/23 03   59.6   0.2  14.7
1221601 11/07/23 00   59.4   0.2  18.2
1221601 10/07/23 21   59.2   0.4  25.2
1221601 10/07/23 18   58.8  -0.2  31.6
1221601 10/07/23 15   59.0  -0.3  32.2
