STAN/CIS  DATUM CAS   [kg] ROZDIL TEPL
1236505 16/06/22 15    1.5   0.5  29.1
1236505 16/06/22 12    1.0  -0.8  28.0
1236505 16/06/22 09    1.8   1.1  19.2
1236505 16/06/22 06    0.7  -0.3  11.9
1236505 16/06/22 03    1.0  -0.2  14.3
1236505 16/06/22 00    1.2   0.4  17.6
1236505 15/06/22 21    0.8   1.1  24.6
1236505 15/06/22 18   -0.3  -0.3  31.5
1236505 15/06/22 15    0.0   0.2  31.6
1236505 15/06/22 12   -0.2  -0.8  27.7
1236505 15/06/22 09    0.6   0.5  16.9
1236505 15/06/22 06    0.1  -0.1   7.9
1236505 15/06/22 03    0.2  -0.2  10.7
1236505 15/06/22 00    0.4   0.0  13.5
1236505 14/06/22 21    0.4   0.4  20.4
1236505 14/06/22 18    0.0  -0.3  26.2
1236505 14/06/22 15    0.3   0.1  25.3
1236505 14/06/22 12    0.2  -0.4  21.0
1236505 14/06/22 09    0.6   0.2  14.5
1236505 14/06/22 06    0.4   0.0   6.9
1236505 14/06/22 03    0.4  -0.2   9.7
1236505 14/06/22 00    0.6  -0.1  13.2
1236505 13/06/22 21    0.7   0.1  17.1
1236505 13/06/22 18    0.6  -0.2  20.8
1236505 13/06/22 15    0.8   0.2  20.4
1236505 13/06/22 12    0.6   0.0  23.1
1236505 13/06/22 09    0.6   0.2  18.0
1236505 13/06/22 06    0.4  -0.2  14.8
1236505 13/06/22 03    0.6  -0.2  16.0
1236505 13/06/22 00    0.8   0.0  17.5
1236505 12/06/22 21    0.8   0.7  24.2
1236505 12/06/22 18    0.1  -0.5  30.4
1236505 12/06/22 15    0.6   0.4  30.5
1236505 12/06/22 12    0.2  -0.5  29.1
1236505 12/06/22 09    0.7   0.5  18.4
1236505 12/06/22 06    0.2  -0.1  10.8
1236505 12/06/22 03    0.3  -0.3  13.6
1236505 12/06/22 00    0.6   0.2  16.7
1236505 11/06/22 21    0.4   0.4  22.8
1236505 11/06/22 18    0.0   0.0  27.7
1236505 11/06/22 15    0.0   0.1  28.2
1236505 11/06/22 12   -0.1  -0.3  26.0
1236505 11/06/22 09    0.2   0.6  17.4
1236505 11/06/22 06   -0.4  -0.2   9.7
1236505 11/06/22 03   -0.2  -0.1  12.0
1236505 11/06/22 00   -0.1  -0.1  15.6
1236505 10/06/22 21    0.0   0.6  20.3
1236505 10/06/22 18   -0.6  -0.6  25.1
1236505 10/06/22 15    0.0  21.3  24.3
1236505 10/06/22 12  -21.3 -47.8  23.6
1236505 10/06/22 09   26.5   0.3  17.9
1236505 10/06/22 06   26.2  -0.2  10.7
1236505 10/06/22 03   26.4  -0.2  13.1
1236505 10/06/22 00   26.6  -0.1  13.4
1236505 09/06/22 21   26.7   0.1  17.2
1236505 09/06/22 18   26.6   0.2  16.7
1236505 09/06/22 15   26.4   0.2  18.0
1236505 09/06/22 12   26.2   0.3  16.7
1236505 09/06/22 09   25.9   0.3  14.0
1236505 09/06/22 06   25.6  -0.2  14.0
1236505 09/06/22 03   25.8  -0.2  15.1
1236505 09/06/22 00   26.0  -0.1  14.7
1236505 08/06/22 21   26.1   0.8  19.9
1236505 08/06/22 18   25.3  -0.3  23.7
1236505 08/06/22 15   25.6   0.5  23.5
1236505 08/06/22 12   25.1  -0.7  25.1
1236505 08/06/22 09   25.8   0.4  18.2
1236505 08/06/22 06   25.4  -0.2   9.6
1236505 08/06/22 03   25.6  -0.2  10.9
1236505 08/06/22 00   25.8   0.0  13.9
1236505 07/06/22 21   25.8  -0.2  19.4
1236505 07/06/22 18   26.0   0.1  23.3
